# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117766 2969.390000 182.098000 52.869200 21.275000 0.000000 0.000000
0.159610 2308.310000 133.294000 51.360800 13.680500 0.000000 0.000000
0.216323 1892.230000 96.857100 27.162200 8.978220 0.000000 0.000000
0.293186 1054.350000 51.147000 20.245900 5.936130 0.000000 0.000000
0.397360 698.950000 35.288500 15.349600 3.085950 0.000000 0.000000
0.538550 479.546000 24.811100 7.814390 2.552130 0.000000 0.000000
0.729906 336.887000 18.054000 5.282030 1.492330 0.000000 0.000000
0.989254 232.853000 12.995000 3.489460 0.996999 0.000000 0.000000
1.340750 158.569000 8.687010 2.538090 0.807301 0.000000 0.000000
1.817150 123.000000 5.916310 1.303650 0.484085 0.000000 0.000000
2.462810 101.592000 4.594340 0.770984 0.388544 0.000000 0.000000
3.337900 81.181600 3.562260 1.204570 0.270505 0.000000 0.000000
4.523910 63.289600 3.472570 0.885849 0.226259 0.000000 0.000000
6.131340 48.362300 2.462170 0.584727 0.163303 0.000000 0.000000
8.309910 35.434800 2.017020 0.636467 0.129708 0.000000 0.000000
11.262600 23.780300 1.937240 0.334445 0.104191 0.000000 0.000000
15.264400 19.542500 1.581990 0.179383 0.073984 0.000000 0.000000
20.688100 12.229900 1.248920 0.258520 0.071525 0.000000 0.000000
28.038900 8.854600 1.062640 0.206381 0.057660 0.000000 0.000000
38.001700 5.851890 0.832367 0.060227 0.048275 0.000000 0.000000
51.504300 2.688340 0.776042 0.044940 0.045773 0.000000 0.000000
69.804700 1.319640 0.643329 0.064796 0.041167 0.000000 0.000000
94.607600 0.525764 0.684729 0.040837 0.036882 0.000000 0.000000
128.223000 0.252418 0.514865 0.048057 0.028117 0.000000 0.000000
173.783000 0.164818 0.461560 0.012552 0.023438 0.000000 0.000000
