# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117766 1816.790000 104.230000 17.584200 11.683400 0.000000 0.000000
0.159610 1473.870000 60.048400 6.007130 8.180320 0.000000 0.000000
0.216323 1004.110000 50.832200 1.496680 5.221480 0.000000 0.000000
0.293186 739.769000 29.803400 -0.360812 3.391210 0.000000 0.000000
0.397360 491.477000 22.819300 2.484560 1.999610 0.000000 0.000000
0.538550 335.720000 13.997300 2.427530 1.364250 0.000000 0.000000
0.729906 239.920000 9.912950 2.390820 1.067150 0.000000 0.000000
0.989254 170.916000 6.489390 0.541069 0.800281 0.000000 0.000000
1.340750 122.706000 4.496530 1.603130 0.551459 0.000000 0.000000
1.817150 94.982600 4.219890 0.422014 0.357190 0.000000 0.000000
2.462810 78.129600 3.116000 0.554849 0.315225 0.000000 0.000000
3.337900 63.170100 2.185170 0.200880 0.205597 0.000000 0.000000
4.523910 46.704600 1.947000 0.570857 0.138546 0.000000 0.000000
6.131340 38.154100 1.648060 0.175855 0.116443 0.000000 0.000000
8.309910 25.716400 1.404280 0.081879 0.094227 0.000000 0.000000
11.262600 20.709000 1.264180 0.060886 0.071452 0.000000 0.000000
15.264400 14.472500 0.972363 0.238311 0.054424 0.000000 0.000000
20.688100 9.641490 0.898210 0.204749 0.051527 0.000000 0.000000
28.038900 6.766140 0.736920 0.112056 0.038127 0.000000 0.000000
38.001700 4.056080 0.620625 0.136369 0.039032 0.000000 0.000000
51.504300 2.180510 0.510891 0.087554 0.035028 0.000000 0.000000
69.804700 1.170900 0.388605 0.033724 0.030481 0.000000 0.000000
94.607600 0.454650 0.405152 0.036960 0.023755 0.000000 0.000000
128.223000 0.117099 0.342767 0.049785 0.020643 0.000000 0.000000
173.783000 -0.159939 0.292298 0.015257 0.016356 0.000000 0.000000
