# rp wgg wggerr wgp wgperr wpp wpperr 
0.11777 2190.17000 97.08720 22.15580 5.93654 0.00000 0.00000
0.15961 1801.17000 59.85930 17.06060 4.08518 0.00000 0.00000
0.21632 1158.49000 36.71850 8.88933 2.51347 0.00000 0.00000
0.29319 786.72500 22.81400 7.60401 1.68932 0.00000 0.00000
0.39736 526.08500 15.66720 6.79531 1.13060 0.00000 0.00000
0.53855 356.11400 9.84251 2.59489 0.81800 0.00000 0.00000
0.72991 253.90400 7.44600 1.77761 0.53100 0.00000 0.00000
0.98925 178.76800 5.32209 0.93927 0.41012 0.00000 0.00000
1.34075 129.62800 4.20921 0.75118 0.23945 0.00000 0.00000
1.81715 100.55600 3.29589 0.33431 0.18802 0.00000 0.00000
2.46281 82.36010 2.51563 0.34533 0.12778 0.00000 0.00000
3.33790 65.41380 1.91587 0.44543 0.10139 0.00000 0.00000
4.52391 49.94190 1.76574 0.32665 0.07158 0.00000 0.00000
6.13134 39.07000 1.43495 0.26200 0.06119 0.00000 0.00000
8.30991 28.72980 1.26089 0.22912 0.04805 0.00000 0.00000
11.26260 20.93100 1.04243 0.13960 0.03743 0.00000 0.00000
15.26440 15.22460 0.90165 0.13474 0.02833 0.00000 0.00000
20.68810 10.42910 0.75127 0.14794 0.02463 0.00000 0.00000
28.03890 7.16997 0.66395 0.09956 0.02525 0.00000 0.00000
38.00170 4.38920 0.56348 0.08743 0.01947 0.00000 0.00000
51.50430 2.18005 0.50870 0.04876 0.01628 0.00000 0.00000
69.80470 1.19473 0.36852 0.03629 0.01406 0.00000 0.00000
94.60760 0.52617 0.37515 0.03832 0.01299 0.00000 0.00000
128.22300 0.05656 0.34220 0.02850 0.00956 0.00000 0.00000
173.78300 -0.17951 0.28116 0.01300 0.00827 0.00000 0.00000
