# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117766 2162.040000 130.229000 20.849500 9.445560 0.000000 0.000000
0.159610 1738.870000 95.858000 13.937700 7.111600 0.000000 0.000000
0.216323 981.167000 44.493800 7.723440 3.648290 0.000000 0.000000
0.293186 714.097000 35.498400 6.443610 2.759090 0.000000 0.000000
0.397360 481.493000 22.090100 7.423790 1.709140 0.000000 0.000000
0.538550 326.798000 14.895900 1.556320 1.301300 0.000000 0.000000
0.729906 248.551000 11.406400 1.248220 0.811209 0.000000 0.000000
0.989254 165.140000 8.734910 0.492538 0.622285 0.000000 0.000000
1.340750 124.376000 6.572780 0.820786 0.380046 0.000000 0.000000
1.817150 94.955200 5.379990 -0.036225 0.268421 0.000000 0.000000
2.462810 77.433400 4.094850 0.495820 0.220796 0.000000 0.000000
3.337900 62.021800 3.036360 0.365777 0.165528 0.000000 0.000000
4.523910 46.456600 2.608180 0.254388 0.113751 0.000000 0.000000
6.131340 37.281200 2.350950 0.147169 0.090779 0.000000 0.000000
8.309910 27.168600 2.127360 0.147202 0.068121 0.000000 0.000000
11.262600 19.721400 1.614050 0.092611 0.053454 0.000000 0.000000
15.264400 14.104000 1.464890 0.074275 0.049953 0.000000 0.000000
20.688100 9.645980 1.234610 0.148821 0.041090 0.000000 0.000000
28.038900 6.217050 1.158750 0.099917 0.041049 0.000000 0.000000
38.001700 3.745750 0.998031 0.113946 0.036387 0.000000 0.000000
51.504300 1.532870 0.805101 0.089136 0.024467 0.000000 0.000000
69.804700 1.108240 0.689773 0.064264 0.021990 0.000000 0.000000
94.607600 0.893554 0.604354 0.048158 0.020958 0.000000 0.000000
128.223000 0.061588 0.488828 0.025680 0.016963 0.000000 0.000000
173.783000 -0.260649 0.436683 0.009983 0.014631 0.000000 0.000000
