# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 6.06002e+02 4.68157e+01 1.73998e+01 7.09096e+00 0.00000e+00 0.00000e+00
1.59622e-01 4.01122e+02 2.81144e+01 2.53530e+00 3.49858e+00 0.00000e+00 0.00000e+00
2.16349e-01 2.83285e+02 2.05068e+01 2.71257e+00 2.12474e+00 0.00000e+00 0.00000e+00
2.93236e-01 2.10273e+02 1.45015e+01 6.11486e+00 1.41878e+00 0.00000e+00 0.00000e+00
3.97447e-01 2.29289e+02 1.11928e+01 3.79038e+00 1.24588e+00 0.00000e+00 0.00000e+00
5.38693e-01 2.81841e+02 1.00929e+01 2.82159e+00 9.22100e-01 0.00000e+00 0.00000e+00
7.30136e-01 1.93666e+02 7.30795e+00 3.29152e+00 7.07782e-01 0.00000e+00 0.00000e+00
9.89614e-01 1.44035e+02 5.82690e+00 1.08964e+00 4.46756e-01 0.00000e+00 0.00000e+00
1.34131e+00 1.10327e+02 3.92644e+00 8.22749e-01 2.75212e-01 0.00000e+00 0.00000e+00
1.81798e+00 8.64216e+01 3.21221e+00 8.17230e-01 2.42669e-01 0.00000e+00 0.00000e+00
2.46406e+00 7.21202e+01 2.70264e+00 4.44079e-01 1.66791e-01 0.00000e+00 0.00000e+00
3.33975e+00 5.76948e+01 2.16584e+00 4.77714e-01 1.43580e-01 0.00000e+00 0.00000e+00
4.52664e+00 4.49569e+01 1.78145e+00 4.13196e-01 9.48966e-02 0.00000e+00 0.00000e+00
6.13533e+00 3.60131e+01 1.53200e+00 2.14971e-01 6.58220e-02 0.00000e+00 0.00000e+00
8.31572e+00 2.69445e+01 1.25803e+00 3.16702e-01 5.55323e-02 0.00000e+00 0.00000e+00
1.12710e+01 1.98646e+01 1.08523e+00 2.56389e-01 4.37450e-02 0.00000e+00 0.00000e+00
1.52765e+01 1.32110e+01 8.70618e-01 1.92844e-01 3.32515e-02 0.00000e+00 0.00000e+00
2.07055e+01 8.95569e+00 7.32075e-01 1.34861e-01 2.81031e-02 0.00000e+00 0.00000e+00
2.80639e+01 5.20688e+00 6.54346e-01 8.91977e-02 2.22299e-02 0.00000e+00 0.00000e+00
3.80373e+01 2.42997e+00 5.22596e-01 5.49889e-02 2.19177e-02 0.00000e+00 0.00000e+00
5.15551e+01 7.07420e-01 4.52327e-01 5.14520e-02 1.64307e-02 0.00000e+00 0.00000e+00
6.98769e+01 2.60465e-01 4.54617e-01 3.14209e-02 1.34078e-02 0.00000e+00 0.00000e+00
9.47099e+01 -1.46219e-01 4.44793e-01 2.11977e-02 1.16915e-02 0.00000e+00 0.00000e+00
