# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 5.48382e+02 4.38786e+01 9.46368e+00 5.70788e+00 0.00000e+00 0.00000e+00
1.59622e-01 3.42964e+02 2.70644e+01 1.92622e+00 3.63705e+00 0.00000e+00 0.00000e+00
2.16349e-01 2.32571e+02 1.78467e+01 3.89270e+00 1.59403e+00 0.00000e+00 0.00000e+00
2.93236e-01 1.40969e+02 1.16241e+01 3.16672e+00 1.56839e+00 0.00000e+00 0.00000e+00
3.97447e-01 1.95111e+02 1.02687e+01 2.19248e+00 1.27417e+00 0.00000e+00 0.00000e+00
5.38693e-01 2.65383e+02 9.75940e+00 2.37638e+00 9.94517e-01 0.00000e+00 0.00000e+00
7.30136e-01 1.82138e+02 6.05522e+00 1.31915e+00 6.59741e-01 0.00000e+00 0.00000e+00
9.89614e-01 1.30325e+02 4.66586e+00 1.01101e-02 5.05007e-01 0.00000e+00 0.00000e+00
1.34131e+00 1.02045e+02 3.52467e+00 2.42863e-01 2.91329e-01 0.00000e+00 0.00000e+00
1.81798e+00 8.63994e+01 2.81790e+00 6.25535e-01 2.28473e-01 0.00000e+00 0.00000e+00
2.46406e+00 6.84562e+01 2.52825e+00 7.80470e-02 1.75782e-01 0.00000e+00 0.00000e+00
3.33975e+00 5.52671e+01 2.00755e+00 4.62577e-01 1.29758e-01 0.00000e+00 0.00000e+00
4.52664e+00 4.31737e+01 1.66835e+00 3.39942e-01 9.97517e-02 0.00000e+00 0.00000e+00
6.13533e+00 3.41333e+01 1.40054e+00 2.84153e-01 5.85378e-02 0.00000e+00 0.00000e+00
8.31572e+00 2.62226e+01 1.13567e+00 2.11937e-01 5.19843e-02 0.00000e+00 0.00000e+00
1.12710e+01 1.90820e+01 1.02219e+00 1.23301e-01 3.97717e-02 0.00000e+00 0.00000e+00
1.52765e+01 1.34645e+01 8.66465e-01 1.37968e-01 3.87767e-02 0.00000e+00 0.00000e+00
2.07055e+01 8.94294e+00 6.91363e-01 1.23481e-01 2.58593e-02 0.00000e+00 0.00000e+00
2.80639e+01 5.17947e+00 5.96508e-01 6.38190e-02 2.28580e-02 0.00000e+00 0.00000e+00
3.80373e+01 2.43549e+00 5.07980e-01 5.06034e-02 2.14528e-02 0.00000e+00 0.00000e+00
5.15551e+01 1.16225e+00 4.62898e-01 5.92560e-02 1.73883e-02 0.00000e+00 0.00000e+00
6.98769e+01 4.74858e-01 4.53291e-01 5.11161e-02 1.49489e-02 0.00000e+00 0.00000e+00
9.47099e+01 5.32415e-02 4.35998e-01 1.86812e-02 1.33962e-02 0.00000e+00 0.00000e+00
