# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 6.23460e+02 4.67266e+01 1.10287e+01 2.85371e+00 0.00000e+00 0.00000e+00
1.59622e-01 3.89049e+02 2.59680e+01 4.01954e+00 1.79438e+00 0.00000e+00 0.00000e+00
2.16349e-01 2.86865e+02 1.63935e+01 5.27309e+00 1.28492e+00 0.00000e+00 0.00000e+00
2.93236e-01 1.96154e+02 1.17780e+01 4.59596e+00 1.00651e+00 0.00000e+00 0.00000e+00
3.97447e-01 2.14656e+02 8.44216e+00 3.15403e+00 6.13869e-01 0.00000e+00 0.00000e+00
5.38693e-01 2.82369e+02 5.84227e+00 3.16583e+00 5.18575e-01 0.00000e+00 0.00000e+00
7.30136e-01 1.92526e+02 4.11965e+00 1.42023e+00 3.31858e-01 0.00000e+00 0.00000e+00
9.89614e-01 1.40007e+02 2.76753e+00 9.03217e-01 2.72021e-01 0.00000e+00 0.00000e+00
1.34131e+00 1.11079e+02 2.12591e+00 7.55326e-01 1.51882e-01 0.00000e+00 0.00000e+00
1.81798e+00 8.62398e+01 1.80503e+00 5.00778e-01 1.21491e-01 0.00000e+00 0.00000e+00
2.46406e+00 7.18385e+01 1.53576e+00 5.43452e-01 8.67941e-02 0.00000e+00 0.00000e+00
3.33975e+00 5.75177e+01 1.06123e+00 3.98466e-01 6.48035e-02 0.00000e+00 0.00000e+00
4.52664e+00 4.52135e+01 9.67024e-01 3.20409e-01 4.84030e-02 0.00000e+00 0.00000e+00
6.13533e+00 3.60765e+01 8.51869e-01 2.20759e-01 3.70599e-02 0.00000e+00 0.00000e+00
8.31572e+00 2.74952e+01 7.01515e-01 2.50044e-01 2.74625e-02 0.00000e+00 0.00000e+00
1.12710e+01 2.05358e+01 6.46217e-01 1.67099e-01 2.32697e-02 0.00000e+00 0.00000e+00
1.52765e+01 1.43197e+01 5.15650e-01 1.09902e-01 1.82855e-02 0.00000e+00 0.00000e+00
2.07055e+01 9.89154e+00 4.83313e-01 1.01748e-01 1.37794e-02 0.00000e+00 0.00000e+00
2.80639e+01 6.14436e+00 4.20528e-01 1.01196e-01 1.19541e-02 0.00000e+00 0.00000e+00
3.80373e+01 3.55261e+00 3.39781e-01 6.52502e-02 1.02227e-02 0.00000e+00 0.00000e+00
5.15551e+01 1.92874e+00 2.68263e-01 5.18103e-02 8.07291e-03 0.00000e+00 0.00000e+00
6.98769e+01 1.34140e+00 2.34715e-01 2.29855e-02 6.85310e-03 0.00000e+00 0.00000e+00
9.47099e+01 9.41622e-01 2.11073e-01 1.52854e-02 6.98264e-03 0.00000e+00 0.00000e+00
