# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 6.35964e+03 3.56079e+02 1.05196e+02 2.15646e+01 0.00000e+00 0.00000e+00
1.59622e-01 4.88115e+03 2.35776e+02 9.29928e+01 1.46399e+01 0.00000e+00 0.00000e+00
2.16349e-01 3.65837e+03 1.31617e+02 7.40591e+01 9.09766e+00 0.00000e+00 0.00000e+00
2.93236e-01 3.04653e+03 8.88667e+01 5.25212e+01 6.98268e+00 0.00000e+00 0.00000e+00
3.97447e-01 2.26515e+03 4.62253e+01 3.39683e+01 4.04350e+00 0.00000e+00 0.00000e+00
5.38693e-01 1.47856e+03 3.02884e+01 2.29743e+01 2.60313e+00 0.00000e+00 0.00000e+00
7.30136e-01 9.02403e+02 1.61678e+01 1.20601e+01 1.57535e+00 0.00000e+00 0.00000e+00
9.89614e-01 2.81623e+02 9.00231e+00 2.64077e+00 8.66465e-01 0.00000e+00 0.00000e+00
1.34131e+00 1.98693e+02 7.10328e+00 1.05317e+00 5.46569e-01 0.00000e+00 0.00000e+00
1.81798e+00 1.53749e+02 5.07567e+00 1.58304e+00 3.75777e-01 0.00000e+00 0.00000e+00
2.46406e+00 1.26692e+02 3.71733e+00 3.48114e-01 2.78883e-01 0.00000e+00 0.00000e+00
3.33975e+00 9.59624e+01 2.72660e+00 4.63211e-01 1.94953e-01 0.00000e+00 0.00000e+00
4.52664e+00 7.54305e+01 2.42485e+00 5.94609e-01 1.69741e-01 0.00000e+00 0.00000e+00
6.13533e+00 5.95176e+01 1.98730e+00 6.55817e-01 1.25402e-01 0.00000e+00 0.00000e+00
8.31572e+00 4.36728e+01 1.62710e+00 5.31105e-01 9.69769e-02 0.00000e+00 0.00000e+00
1.12710e+01 3.10607e+01 1.52713e+00 4.88355e-01 6.45798e-02 0.00000e+00 0.00000e+00
1.52765e+01 2.20924e+01 1.25462e+00 2.48306e-01 5.62450e-02 0.00000e+00 0.00000e+00
2.07055e+01 1.53037e+01 1.01997e+00 2.23145e-01 4.13753e-02 0.00000e+00 0.00000e+00
2.80639e+01 9.56515e+00 7.69108e-01 1.40024e-01 4.00545e-02 0.00000e+00 0.00000e+00
3.80373e+01 5.76939e+00 7.13596e-01 1.18760e-01 3.62898e-02 0.00000e+00 0.00000e+00
5.15551e+01 2.95944e+00 5.77813e-01 2.92003e-02 3.44552e-02 0.00000e+00 0.00000e+00
6.98769e+01 1.62458e+00 5.01365e-01 5.93546e-03 2.37413e-02 0.00000e+00 0.00000e+00
9.47099e+01 1.11378e+00 4.98094e-01 7.59936e-03 2.09292e-02 0.00000e+00 0.00000e+00
