# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 1.37208e+03 1.03332e+02 2.51571e+01 8.14575e+00 0.00000e+00 0.00000e+00
1.59622e-01 1.02536e+03 7.44840e+01 8.88945e+00 4.32838e+00 0.00000e+00 0.00000e+00
2.16349e-01 7.65471e+02 4.17696e+01 1.81389e+01 3.32914e+00 0.00000e+00 0.00000e+00
2.93236e-01 6.64475e+02 3.43798e+01 7.63917e+00 2.80995e+00 0.00000e+00 0.00000e+00
3.97447e-01 5.18398e+02 2.51984e+01 5.52072e+00 1.91329e+00 0.00000e+00 0.00000e+00
5.38693e-01 3.44820e+02 1.60402e+01 2.19024e+00 1.19147e+00 0.00000e+00 0.00000e+00
7.30136e-01 2.33968e+02 1.06832e+01 1.47873e+00 6.15252e-01 0.00000e+00 0.00000e+00
9.89614e-01 1.73048e+02 7.74935e+00 1.39400e+00 5.50289e-01 0.00000e+00 0.00000e+00
1.34131e+00 1.24340e+02 5.72707e+00 6.23292e-01 3.23195e-01 0.00000e+00 0.00000e+00
1.81798e+00 9.77942e+01 4.27100e+00 4.10029e-01 2.66442e-01 0.00000e+00 0.00000e+00
2.46406e+00 8.15056e+01 3.77042e+00 7.47701e-01 1.90108e-01 0.00000e+00 0.00000e+00
3.33975e+00 6.17904e+01 2.75242e+00 2.64836e-01 1.44356e-01 0.00000e+00 0.00000e+00
4.52664e+00 4.69362e+01 2.43118e+00 3.43790e-01 1.04546e-01 0.00000e+00 0.00000e+00
6.13533e+00 3.78448e+01 1.79080e+00 3.84921e-01 7.76624e-02 0.00000e+00 0.00000e+00
8.31572e+00 2.79632e+01 1.58605e+00 2.49740e-01 5.74788e-02 0.00000e+00 0.00000e+00
1.12710e+01 2.03225e+01 1.36748e+00 1.50966e-01 4.81757e-02 0.00000e+00 0.00000e+00
1.52765e+01 1.38005e+01 1.11901e+00 1.86130e-01 3.28644e-02 0.00000e+00 0.00000e+00
2.07055e+01 9.61190e+00 9.47156e-01 1.66938e-01 3.44446e-02 0.00000e+00 0.00000e+00
2.80639e+01 6.43350e+00 8.81784e-01 5.51349e-02 2.30180e-02 0.00000e+00 0.00000e+00
3.80373e+01 3.48494e+00 7.50899e-01 7.97622e-02 2.42616e-02 0.00000e+00 0.00000e+00
5.15551e+01 1.36836e+00 7.09074e-01 4.58418e-02 2.42304e-02 0.00000e+00 0.00000e+00
6.98769e+01 1.66931e-01 7.15512e-01 4.00912e-02 1.89561e-02 0.00000e+00 0.00000e+00
9.47099e+01 -2.25926e-01 6.85380e-01 1.15073e-02 1.75738e-02 0.00000e+00 0.00000e+00
