# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 -8.29720e+01 1.39015e+01 -2.69769e+00 1.28867e+00 0.00000e+00 0.00000e+00
1.59622e-01 -6.87379e+01 1.16069e+01 2.03095e+00 9.98803e-01 0.00000e+00 0.00000e+00
2.16349e-01 -7.13878e+01 7.32609e+00 1.04541e+00 7.34484e-01 0.00000e+00 0.00000e+00
2.93236e-01 -4.39864e+01 6.17767e+00 6.52507e-01 5.67457e-01 0.00000e+00 0.00000e+00
3.97447e-01 -2.16002e+01 4.76257e+00 -1.05472e-01 4.84899e-01 0.00000e+00 0.00000e+00
5.38693e-01 -3.15986e+01 3.35308e+00 1.05873e-01 3.28623e-01 0.00000e+00 0.00000e+00
7.30136e-01 7.12142e+00 2.97679e+00 3.52233e-01 2.89267e-01 0.00000e+00 0.00000e+00
9.89614e-01 1.22748e+02 3.11463e+00 7.55632e-01 2.80813e-01 0.00000e+00 0.00000e+00
1.34131e+00 9.55344e+01 2.20694e+00 6.33865e-01 2.07502e-01 0.00000e+00 0.00000e+00
1.81798e+00 7.83202e+01 2.03874e+00 4.37080e-01 1.25977e-01 0.00000e+00 0.00000e+00
2.46406e+00 6.52235e+01 1.50127e+00 5.42328e-01 1.16160e-01 0.00000e+00 0.00000e+00
3.33975e+00 5.35165e+01 1.31870e+00 5.05287e-01 8.10426e-02 0.00000e+00 0.00000e+00
4.52664e+00 4.10046e+01 1.04869e+00 3.26589e-01 5.71059e-02 0.00000e+00 0.00000e+00
6.13533e+00 3.21409e+01 9.13558e-01 2.60245e-01 3.86777e-02 0.00000e+00 0.00000e+00
8.31572e+00 2.42894e+01 8.14879e-01 2.22043e-01 3.18702e-02 0.00000e+00 0.00000e+00
1.12710e+01 1.80186e+01 6.91698e-01 1.43669e-01 2.57942e-02 0.00000e+00 0.00000e+00
1.52765e+01 1.31023e+01 6.03701e-01 1.75041e-01 2.09888e-02 0.00000e+00 0.00000e+00
2.07055e+01 9.20562e+00 5.11176e-01 1.45138e-01 1.87266e-02 0.00000e+00 0.00000e+00
2.80639e+01 6.31926e+00 4.68328e-01 1.02783e-01 1.58116e-02 0.00000e+00 0.00000e+00
3.80373e+01 4.07505e+00 3.95155e-01 8.52323e-02 1.31555e-02 0.00000e+00 0.00000e+00
5.15551e+01 2.44922e+00 3.49931e-01 6.51884e-02 1.18283e-02 0.00000e+00 0.00000e+00
6.98769e+01 1.52712e+00 3.41892e-01 3.95862e-02 1.02306e-02 0.00000e+00 0.00000e+00
9.47099e+01 9.96980e-01 3.14278e-01 2.61387e-02 8.52909e-03 0.00000e+00 0.00000e+00
