# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 1.32599e+03 8.65839e+01 2.12373e+01 8.58155e+00 0.00000e+00 0.00000e+00
1.59622e-01 9.94195e+02 7.42365e+01 1.48216e+01 4.77880e+00 0.00000e+00 0.00000e+00
2.16349e-01 6.56808e+02 3.49244e+01 1.04762e+01 2.78860e+00 0.00000e+00 0.00000e+00
2.93236e-01 6.27397e+02 3.41336e+01 8.23676e+00 1.99108e+00 0.00000e+00 0.00000e+00
3.97447e-01 5.00662e+02 2.38577e+01 6.25398e+00 1.37201e+00 0.00000e+00 0.00000e+00
5.38693e-01 3.19881e+02 1.54164e+01 3.66643e+00 1.17776e+00 0.00000e+00 0.00000e+00
7.30136e-01 2.15675e+02 1.02415e+01 1.74351e+00 7.03474e-01 0.00000e+00 0.00000e+00
9.89614e-01 1.63094e+02 7.32438e+00 8.86112e-01 4.52530e-01 0.00000e+00 0.00000e+00
1.34131e+00 1.20726e+02 5.66295e+00 9.61781e-01 3.75339e-01 0.00000e+00 0.00000e+00
1.81798e+00 9.55250e+01 4.59443e+00 2.69501e-01 2.62011e-01 0.00000e+00 0.00000e+00
2.46406e+00 8.11192e+01 3.76389e+00 4.16646e-01 2.18173e-01 0.00000e+00 0.00000e+00
3.33975e+00 6.39595e+01 2.79738e+00 4.54932e-01 1.30971e-01 0.00000e+00 0.00000e+00
4.52664e+00 4.78617e+01 2.41302e+00 4.34117e-01 1.00750e-01 0.00000e+00 0.00000e+00
6.13533e+00 3.70464e+01 1.95280e+00 3.32022e-01 7.39104e-02 0.00000e+00 0.00000e+00
8.31572e+00 2.76065e+01 1.66231e+00 2.24298e-01 6.17615e-02 0.00000e+00 0.00000e+00
1.12710e+01 2.05707e+01 1.38790e+00 1.89042e-01 4.10280e-02 0.00000e+00 0.00000e+00
1.52765e+01 1.36894e+01 1.13088e+00 1.78481e-01 3.26883e-02 0.00000e+00 0.00000e+00
2.07055e+01 9.21427e+00 9.97146e-01 1.30444e-01 3.01727e-02 0.00000e+00 0.00000e+00
2.80639e+01 5.90199e+00 9.21967e-01 9.79451e-02 2.62985e-02 0.00000e+00 0.00000e+00
3.80373e+01 3.15248e+00 7.98920e-01 8.07588e-02 2.38742e-02 0.00000e+00 0.00000e+00
5.15551e+01 1.25754e+00 7.01081e-01 5.76692e-02 1.87577e-02 0.00000e+00 0.00000e+00
6.98769e+01 2.75989e-01 6.93695e-01 5.05862e-02 1.96940e-02 0.00000e+00 0.00000e+00
9.47099e+01 -2.95622e-01 7.13902e-01 2.03739e-02 1.33901e-02 0.00000e+00 0.00000e+00
