# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 6.36872e+03 2.80265e+02 9.54088e+01 2.12525e+01 0.00000e+00 0.00000e+00
1.59622e-01 5.05673e+03 2.41098e+02 5.26327e+01 1.43910e+01 0.00000e+00 0.00000e+00
2.16349e-01 4.05673e+03 1.21463e+02 2.46663e+01 9.29782e+00 0.00000e+00 0.00000e+00
2.93236e-01 3.51246e+03 1.05369e+02 2.59775e+01 7.48012e+00 0.00000e+00 0.00000e+00
3.97447e-01 2.71304e+03 5.11532e+01 1.70094e+01 4.82949e+00 0.00000e+00 0.00000e+00
5.38693e-01 1.87346e+03 3.24505e+01 6.69460e+00 3.31487e+00 0.00000e+00 0.00000e+00
7.30136e-01 1.19336e+03 2.71501e+01 2.20166e+00 1.91159e+00 0.00000e+00 0.00000e+00
9.89614e-01 3.99950e+02 1.19392e+01 2.13031e+00 9.37019e-01 0.00000e+00 0.00000e+00
1.34131e+00 2.48053e+02 8.30605e+00 5.87735e-01 5.92898e-01 0.00000e+00 0.00000e+00
1.81798e+00 1.73916e+02 5.66129e+00 -1.23957e-01 4.90210e-01 0.00000e+00 0.00000e+00
2.46406e+00 1.38745e+02 3.95821e+00 4.97777e-01 2.84182e-01 0.00000e+00 0.00000e+00
3.33975e+00 1.03551e+02 3.19639e+00 -4.77587e-02 2.49429e-01 0.00000e+00 0.00000e+00
4.52664e+00 8.07177e+01 2.64364e+00 1.89820e-01 1.65379e-01 0.00000e+00 0.00000e+00
6.13533e+00 6.19779e+01 2.31729e+00 5.96052e-02 1.29202e-01 0.00000e+00 0.00000e+00
8.31572e+00 4.64197e+01 1.87291e+00 7.82418e-02 8.98651e-02 0.00000e+00 0.00000e+00
1.12710e+01 3.25423e+01 1.72842e+00 1.74871e-02 7.39336e-02 0.00000e+00 0.00000e+00
1.52765e+01 2.24721e+01 1.45095e+00 -6.35332e-03 6.33285e-02 0.00000e+00 0.00000e+00
2.07055e+01 1.53714e+01 1.14576e+00 -5.27624e-03 4.78456e-02 0.00000e+00 0.00000e+00
2.80639e+01 9.94181e+00 8.64638e-01 -1.78122e-02 4.41811e-02 0.00000e+00 0.00000e+00
3.80373e+01 5.76819e+00 7.82343e-01 3.34663e-02 3.27188e-02 0.00000e+00 0.00000e+00
5.15551e+01 2.94043e+00 6.41184e-01 -1.24392e-02 4.10221e-02 0.00000e+00 0.00000e+00
6.98769e+01 1.70094e+00 5.50864e-01 -8.81878e-03 3.31903e-02 0.00000e+00 0.00000e+00
9.47099e+01 1.03540e+00 5.44014e-01 3.52168e-03 2.37043e-02 0.00000e+00 0.00000e+00
