# rp wgg wgg_err wgp wgp_err wpp wpp_err
1.17769e-01 1.32563e+03 5.22292e+01 1.97169e+01 3.33866e+00 0.00000e+00 0.00000e+00
1.59622e-01 1.00503e+03 3.88449e+01 1.64172e+01 2.23824e+00 0.00000e+00 0.00000e+00
2.16349e-01 7.49799e+02 2.03368e+01 1.03350e+01 1.59114e+00 0.00000e+00 0.00000e+00
2.93236e-01 6.68611e+02 1.75471e+01 8.39597e+00 1.28049e+00 0.00000e+00 0.00000e+00
3.97447e-01 5.22094e+02 1.15534e+01 5.30563e+00 8.13580e-01 0.00000e+00 0.00000e+00
5.38693e-01 3.39490e+02 7.50853e+00 3.18428e+00 5.43517e-01 0.00000e+00 0.00000e+00
7.30136e-01 2.33880e+02 5.86206e+00 1.87682e+00 3.80817e-01 0.00000e+00 0.00000e+00
9.89614e-01 1.68677e+02 4.02224e+00 1.16746e+00 2.79672e-01 0.00000e+00 0.00000e+00
1.34131e+00 1.23479e+02 2.96297e+00 6.22589e-01 1.70976e-01 0.00000e+00 0.00000e+00
1.81798e+00 9.66886e+01 2.39671e+00 4.59517e-01 1.18034e-01 0.00000e+00 0.00000e+00
2.46406e+00 8.06246e+01 1.81137e+00 5.21509e-01 1.07516e-01 0.00000e+00 0.00000e+00
3.33975e+00 6.36140e+01 1.57437e+00 4.39997e-01 7.56581e-02 0.00000e+00 0.00000e+00
4.52664e+00 4.89254e+01 1.19259e+00 3.51924e-01 4.72389e-02 0.00000e+00 0.00000e+00
6.13533e+00 3.85010e+01 1.09347e+00 2.73600e-01 3.39701e-02 0.00000e+00 0.00000e+00
8.31572e+00 2.88540e+01 9.67284e-01 2.27999e-01 2.70060e-02 0.00000e+00 0.00000e+00
1.12710e+01 2.10885e+01 8.71679e-01 1.68274e-01 2.23593e-02 0.00000e+00 0.00000e+00
1.52765e+01 1.49813e+01 7.12228e-01 1.60568e-01 1.71866e-02 0.00000e+00 0.00000e+00
2.07055e+01 1.05016e+01 5.92311e-01 1.33467e-01 1.54757e-02 0.00000e+00 0.00000e+00
2.80639e+01 7.05699e+00 5.31226e-01 8.96737e-02 1.44195e-02 0.00000e+00 0.00000e+00
3.80373e+01 4.51030e+00 4.54928e-01 8.03074e-02 1.19860e-02 0.00000e+00 0.00000e+00
5.15551e+01 2.56869e+00 3.87834e-01 5.34367e-02 1.08151e-02 0.00000e+00 0.00000e+00
6.98769e+01 1.55594e+00 3.66886e-01 3.12543e-02 9.52639e-03 0.00000e+00 0.00000e+00
9.47099e+01 1.02255e+00 3.51233e-01 2.18671e-02 7.58363e-03 0.00000e+00 0.00000e+00
