# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117767 554.692000 69.395200 7.533170 4.668330 0.000000 0.000000
0.159615 434.963000 44.167000 0.072861 3.888670 0.000000 0.000000
0.216334 267.793000 24.165600 4.441280 2.155360 0.000000 0.000000
0.293207 169.170000 15.915000 2.704960 1.676740 0.000000 0.000000
0.397397 190.985000 11.429300 1.564150 1.201250 0.000000 0.000000
0.538610 261.716000 10.122200 3.441800 0.940217 0.000000 0.000000
0.730002 184.775000 7.569580 -0.798404 0.649698 0.000000 0.000000
0.989404 136.035000 5.682930 1.515550 0.530400 0.000000 0.000000
1.340980 111.616000 4.865080 0.769491 0.333971 0.000000 0.000000
1.817500 89.537100 3.916000 0.198831 0.247397 0.000000 0.000000
2.463340 71.956000 3.856280 0.574624 0.204069 0.000000 0.000000
3.338670 58.128500 3.446260 0.435293 0.148500 0.000000 0.000000
4.525050 46.358600 3.249070 0.273837 0.111882 0.000000 0.000000
6.133000 37.644000 2.963150 0.232557 0.077115 0.000000 0.000000
8.312340 29.566300 2.751980 0.238058 0.053239 0.000000 0.000000
11.266100 22.287200 2.664460 0.127292 0.047353 0.000000 0.000000
15.269400 16.445200 2.526670 0.082630 0.040506 0.000000 0.000000
20.695400 11.797900 2.389800 0.051460 0.028791 0.000000 0.000000
28.049400 7.958340 2.266550 0.082181 0.024557 0.000000 0.000000
38.016600 5.281010 2.099710 0.057998 0.017434 0.000000 0.000000
51.525600 3.232860 1.913480 0.033714 0.014340 0.000000 0.000000
69.834900 2.120230 1.692840 0.008806 0.013341 0.000000 0.000000
94.650400 1.449560 1.437810 0.022358 0.010462 0.000000 0.000000
128.284000 0.531157 1.158400 0.001748 0.011174 0.000000 0.000000
173.869000 0.193776 0.798134 0.003818 0.008797 0.000000 0.000000
