# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117767 713.908000 117.085000 16.643600 4.399030 0.414663 0.803718
0.159615 547.146000 64.429800 6.102100 2.801160 1.083100 0.543043
0.216334 367.246000 36.020900 6.227470 1.727860 -0.209468 0.384776
0.293207 242.656000 18.258900 5.641650 1.149620 0.569265 0.230248
0.397397 270.472000 15.783500 3.376140 0.895016 0.200809 0.193877
0.538610 353.958000 11.482100 4.204280 0.637876 0.029553 0.145807
0.730002 257.887000 8.392320 1.465420 0.430218 0.044207 0.101882
0.989404 185.662000 6.007430 0.978701 0.319245 -0.043616 0.066784
1.340980 154.107000 5.008290 1.054870 0.224130 0.100683 0.057133
1.817500 126.578000 4.364910 0.583809 0.178904 0.016074 0.034046
2.463340 104.617000 4.089980 0.454279 0.128244 0.007994 0.022895
3.338670 88.628300 3.897970 0.431419 0.091582 0.012515 0.016318
4.525050 70.910700 3.877340 0.313120 0.062010 0.015063 0.014555
6.133000 58.643600 3.531390 0.270654 0.054003 0.000215 0.008129
8.312340 48.714500 3.465660 0.285496 0.035499 0.003885 0.007991
11.266100 40.763200 3.500890 0.181121 0.028702 0.009052 0.005428
15.269400 30.874500 3.357960 0.134875 0.021923 0.000009 0.004224
20.695400 24.749900 3.276120 0.094528 0.019739 0.005469 0.002851
28.049400 18.959800 3.194680 0.098823 0.016573 0.004386 0.002050
38.016600 14.900000 3.053250 0.081865 0.013183 -0.000044 0.001764
51.525600 12.141100 2.892610 0.054704 0.011052 0.001190 0.001150
69.834900 10.182300 2.709910 0.032859 0.009095 0.001823 0.001026
94.650400 8.287950 2.518620 0.024776 0.008506 -0.000695 0.000730
128.284000 6.668290 2.354030 0.018075 0.007639 -0.000024 0.000571
173.869000 6.231780 2.182430 0.004445 0.006386 -0.000125 0.000463
