# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117767 632.053000 69.671500 13.703700 3.309710 0.000000 0.000000
0.159615 381.771000 36.900900 5.151190 2.130570 0.000000 0.000000
0.216334 319.577000 24.313600 4.381950 1.399970 0.000000 0.000000
0.293207 190.893000 14.495300 3.852710 0.969155 0.000000 0.000000
0.397397 214.951000 12.554300 3.103300 0.791956 0.000000 0.000000
0.538610 283.602000 10.565300 3.615170 0.591607 0.000000 0.000000
0.730002 189.630000 7.463210 0.875066 0.409527 0.000000 0.000000
0.989404 146.161000 5.848760 0.937935 0.288895 0.000000 0.000000
1.340980 114.534000 4.492550 0.822601 0.205810 0.000000 0.000000
1.817500 90.334900 3.969380 0.484889 0.139436 0.000000 0.000000
2.463340 73.213900 3.718820 0.434011 0.117114 0.000000 0.000000
3.338670 61.694100 3.365600 0.488498 0.075814 0.000000 0.000000
4.525050 48.320400 3.157230 0.351275 0.059240 0.000000 0.000000
6.133000 39.117600 2.912280 0.258332 0.051938 0.000000 0.000000
8.312340 30.364300 2.738140 0.260891 0.034966 0.000000 0.000000
11.266100 23.149100 2.668380 0.172062 0.026699 0.000000 0.000000
15.269400 16.964000 2.540530 0.126033 0.020323 0.000000 0.000000
20.695400 12.472000 2.421990 0.085755 0.018491 0.000000 0.000000
28.049400 8.349320 2.309450 0.101546 0.013226 0.000000 0.000000
38.016600 5.487810 2.141780 0.081990 0.010746 0.000000 0.000000
51.525600 3.437140 1.967990 0.049348 0.009494 0.000000 0.000000
69.834900 2.533600 1.758080 0.030068 0.007925 0.000000 0.000000
94.650400 1.673370 1.512850 0.026682 0.007329 0.000000 0.000000
128.284000 0.733727 1.240280 0.015047 0.006839 0.000000 0.000000
173.869000 0.433579 0.893527 0.004952 0.005332 0.000000 0.000000
