# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117767 782.440000 46.266900 30.422600 5.865960 0.000000 0.000000
0.159615 522.632000 31.270200 13.059300 3.803760 0.000000 0.000000
0.216334 357.139000 19.183700 6.786330 2.492810 0.000000 0.000000
0.293207 253.598000 15.538800 5.324190 1.736450 0.000000 0.000000
0.397397 266.346000 10.447100 3.906580 1.372160 0.000000 0.000000
0.538610 331.830000 10.432900 6.490350 1.064950 0.000000 0.000000
0.730002 231.525000 7.286840 3.347560 0.700252 0.000000 0.000000
0.989404 166.008000 5.448120 1.263660 0.548964 0.000000 0.000000
1.340980 128.080000 4.640410 1.542030 0.343562 0.000000 0.000000
1.817500 102.143000 3.963350 1.024040 0.262890 0.000000 0.000000
2.463340 83.371500 3.376180 0.739114 0.174045 0.000000 0.000000
3.338670 69.653300 3.178480 0.419961 0.136615 0.000000 0.000000
4.525050 52.838300 2.960640 0.658868 0.087238 0.000000 0.000000
6.133000 43.333100 2.781390 0.321354 0.070061 0.000000 0.000000
8.312340 33.199800 2.562010 0.367575 0.054820 0.000000 0.000000
11.266100 25.230000 2.337840 0.185783 0.050750 0.000000 0.000000
15.269400 18.269900 2.256100 0.162268 0.041097 0.000000 0.000000
20.695400 13.299200 2.057880 0.154341 0.029415 0.000000 0.000000
28.049400 8.825130 1.782620 0.151490 0.022380 0.000000 0.000000
38.016600 5.819280 1.444500 0.085083 0.021442 0.000000 0.000000
51.525600 3.447310 1.130500 0.054319 0.021746 0.000000 0.000000
69.834900 2.508460 0.939262 0.021513 0.020292 0.000000 0.000000
94.650400 1.910190 0.775767 -0.008093 0.023783 0.000000 0.000000
128.284000 0.715068 0.507938 0.004587 0.021502 0.000000 0.000000
173.869000 0.504883 0.359893 0.009627 0.010614 0.000000 0.000000
