# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117767 606.392000 34.576200 13.632100 3.361170 0.441411 0.716811
0.159615 406.098000 21.003100 4.355160 2.222150 1.014050 0.455600
0.216334 300.038000 14.460800 4.077760 1.157730 -0.151219 0.350517
0.293207 185.758000 9.869800 4.766300 0.933336 0.531689 0.223421
0.397397 216.114000 7.526470 2.924570 0.732902 0.224466 0.187215
0.538610 299.174000 7.384150 3.800710 0.569844 0.092406 0.133631
0.730002 205.168000 5.372510 1.211370 0.395323 0.081012 0.088161
0.989404 149.891000 4.806640 0.853363 0.273523 -0.050516 0.064907
1.340980 121.251000 3.842120 0.862008 0.198574 0.091283 0.047931
1.817500 95.455300 3.501590 0.703418 0.129127 0.038802 0.034622
2.463340 77.823900 3.206180 0.485642 0.089859 0.023773 0.023899
3.338670 65.170000 2.991670 0.287730 0.075061 0.025355 0.020163
4.525050 50.675900 2.766940 0.348448 0.055427 0.000974 0.013855
6.133000 41.347000 2.652290 0.261588 0.046495 -0.005810 0.009254
8.312340 32.272900 2.435970 0.248864 0.027241 0.001074 0.006776
11.266100 25.029000 2.248110 0.180629 0.027566 0.006090 0.004354
15.269400 17.557400 2.148850 0.128291 0.018892 -0.001101 0.003852
20.695400 12.300500 1.971520 0.095260 0.016514 0.005242 0.002337
28.049400 7.888460 1.677270 0.085733 0.012811 0.005452 0.002091
38.016600 4.884700 1.338760 0.067100 0.012901 0.000748 0.001592
51.525600 3.259380 1.025810 0.063783 0.009320 0.001889 0.001194
69.834900 2.121390 0.827099 0.023116 0.008972 0.001764 0.000950
94.650400 1.448670 0.656066 0.015654 0.008021 -0.001149 0.000781
128.284000 0.467970 0.422544 0.009480 0.008298 0.000093 0.000643
173.869000 0.213604 0.252048 0.004294 0.004918 -0.000171 0.000449
