# rp  wgg  wgg_err  wgp  wgp_err  wpp  wpp_err
0.117767 577.361000 26.810500 13.212200 2.743130 0.000000 0.000000
0.159615 379.306000 16.617300 5.029920 1.883800 0.000000 0.000000
0.216334 275.590000 12.402200 3.955680 1.093670 0.000000 0.000000
0.293207 173.400000 8.699080 4.151980 0.904594 0.000000 0.000000
0.397397 204.520000 7.002720 2.402480 0.593345 0.000000 0.000000
0.538610 287.245000 7.152420 3.786050 0.531975 0.000000 0.000000
0.730002 194.505000 5.309550 1.204600 0.353582 0.000000 0.000000
0.989404 142.938000 4.487130 0.893392 0.253269 0.000000 0.000000
1.340980 114.240000 3.784040 0.854353 0.173519 0.000000 0.000000
1.817500 90.098100 3.480020 0.666276 0.112808 0.000000 0.000000
2.463340 73.646500 3.202430 0.520452 0.086835 0.000000 0.000000
3.338670 61.359200 3.003850 0.308051 0.066888 0.000000 0.000000
4.525050 47.595900 2.784610 0.337432 0.052029 0.000000 0.000000
6.133000 38.869400 2.660490 0.262309 0.039966 0.000000 0.000000
8.312340 29.937300 2.469800 0.236546 0.025071 0.000000 0.000000
11.266100 22.921000 2.274750 0.173073 0.024486 0.000000 0.000000
15.269400 16.383200 2.186070 0.132301 0.017781 0.000000 0.000000
20.695400 11.754200 1.996840 0.105313 0.014044 0.000000 0.000000
28.049400 7.793420 1.702500 0.087789 0.011229 0.000000 0.000000
38.016600 4.812310 1.358170 0.064528 0.011990 0.000000 0.000000
51.525600 2.826570 1.031000 0.057570 0.009276 0.000000 0.000000
69.834900 1.835050 0.806655 0.023769 0.008398 0.000000 0.000000
94.650400 1.346690 0.633733 0.016528 0.008430 0.000000 0.000000
128.284000 0.427686 0.417521 0.007476 0.007964 0.000000 0.000000
173.869000 0.196498 0.256323 0.006750 0.004822 0.000000 0.000000
