# rp wgp wgp_err wgg wgg_err
1.66610e-01 1.79228e+01 2.13286e+00 4.93752e+01 6.86580e+00
2.87845e-01 5.81641e+00 1.80096e+00 4.18017e+01 6.54539e+00
4.97297e-01 3.54073e+00 1.42482e+00 3.37431e+01 6.21854e+00
8.59158e-01 2.25075e+00 1.28657e+00 2.51532e+01 5.97384e+00
1.48433e+00 1.54280e+00 1.10017e+00 1.73060e+01 5.73777e+00
2.56441e+00 2.00750e+00 8.83056e-01 1.14730e+01 5.49762e+00
4.43041e+00 1.84616e+00 6.78163e-01 7.61834e+00 5.21226e+00
7.65422e+00 1.39913e+00 5.27184e-01 4.44228e+00 4.81691e+00
1.32239e+01 7.32882e-01 4.30363e-01 1.91752e+00 4.25077e+00
2.28463e+01 3.01371e-01 3.60493e-01 -4.39302e-03 3.49761e+00
3.94705e+01 7.65139e-02 2.96153e-01 -2.07957e-01 2.62826e+00
6.03553e+01 3.86985e-01 2.27850e-01 -8.77734e-01 1.75314e+00
